# theme: 심리와 감정
# unit: voca-5-u011
心态 | xīntài
情感 | qínggǎn
感受 | gǎnshòu
委屈 | wěiqu
沮丧 | jǔsàng
郁闷 | yùmèn
忧郁 | yōuyù
痛苦 | tòngkǔ
愤怒 | fènnù
恐惧 | kǒngjù
惊讶 | jīngyà
惊喜 | jīngxǐ
欣慰 | xīnwèi
满足 | mǎnzú
内疚 | nèijiù
孤独 | gūdú
寂寞 | jìmò
舍不得 | shěbude
思念 | sīniàn
怀念 | huáiniàn
想念 | xiǎngniàn
牵挂 | qiānguà
不安 | bù'ān
慌张 | huāngzhāng
急躁 | jízào
烦躁 | fánzào
镇静 | zhènjìng
平静 | píngjìng
安慰 | ānwèi
鼓舞 | gǔwǔ
振奋 | zhènfèn
热爱 | rè'ài
珍惜 | zhēnxī
在乎 | zàihu
心疼 | xīnténg
疼爱 | téng'ài
厌恶 | yànwù
嫉妒 | jídù
尴尬 | gāngà
难堪 | nánkān
羞耻 | xiūchǐ
恐慌 | kǒnghuāng
压抑 | yāyì
心灵 | xīnlíng
心事 | xīnshì
心意 | xīnyì
心思 | xīnsi
感激 | gǎnjī
感慨 | gǎnkǎi
感触 | gǎnchù
感性 | gǎnxìng
直觉 | zhíjué
意识 | yìshí
潜意识 | qiányìshí
疲惫 | píbèi
崩溃 | bēngkuì
忧虑 | yōulǜ
顾虑 | gùlǜ
埋怨 | mányuàn
愉悦 | yúyuè
舒畅 | shūchàng
喜悦 | xǐyuè
欢乐 | huānlè
悲伤 | bēishāng
伤感 | shānggǎn
悲痛 | bēitòng
心酸 | xīnsuān
恐怖 | kǒngbù
震惊 | zhènjīng
期待 | qīdài
盼望 | pànwàng
渴望 | kěwàng
向往 | xiàngwǎng
憧憬 | chōngjǐng
自卑 | zìbēi
自尊心 | zìzūnxīn
温馨 | wēnxīn
无奈 | wúnài
绝望 | juéwàng
敏感 | mǐngǎn
脆弱 | cuìruò
发脾气 | fā píqi
哭泣 | kūqì
笑容 | xiàoróng
眼神 | yǎnshén
神情 | shénqíng
着迷 | zháomí
陶醉 | táozuì
依赖 | yīlài
信赖 | xìnlài
警惕 | jǐngtì
调节 | tiáojié
发泄 | fāxiè
倾诉 | qīngsù
克制 | kèzhì
忍耐 | rěnnài
忍受 | rěnshòu
承受 | chéngshòu
安全感 | ānquángǎn
成就感 | chéngjiùgǎn
