# theme: 고급 사자성어
# unit: voca-6-u015
不言而喻 | bù yán ér yù
锲而不舍 | qiè ér bù shě
百折不挠 | bǎi zhé bù náo
孜孜不倦 | zī zī bù juàn
兢兢业业 | jīng jīng yè yè
竭尽全力 | jié jìn quán lì
字斟句酌 | zì zhēn jù zhuó
按部就班 | àn bù jiù bān
始终不渝 | shǐ zhōng bù yú
得天独厚 | dé tiān dú hòu
举世瞩目 | jǔ shì zhǔ mù
举足轻重 | jǔ zú qīng zhòng
当之无愧 | dāng zhī wú kuì
优胜劣汰 | yōu shèng liè tài
心血来潮 | xīn xuè lái cháo
急于求成 | jí yú qiú chéng
难能可贵 | nán néng kě guì
不择手段 | bù zé shǒu duàn
不屑一顾 | bù xiè yī gù
不相上下 | bù xiāng shàng xià
川流不息 | chuān liú bù xī
纷至沓来 | fēn zhì tà lái
滔滔不绝 | tāo tāo bù jué
喋喋不休 | dié dié bù xiū
斩钉截铁 | zhǎn dīng jié tiě
理直气壮 | lǐ zhí qì zhuàng
振振有词 | zhèn zhèn yǒu cí
自力更生 | zì lì gēng shēng
废寝忘食 | fèi qǐn wàng shí
争先恐后 | zhēng xiān kǒng hòu
统筹兼顾 | tǒng chóu jiān gù
朝气蓬勃 | zhāo qì péng bó
生机勃勃 | shēng jī bó bó
欣欣向荣 | xīn xīn xiàng róng
蒸蒸日上 | zhēng zhēng rì shàng
风土人情 | fēng tǔ rén qíng
德高望重 | dé gāo wàng zhòng
博大精深 | bó dà jīng shēn
鞠躬尽瘁 | jū gōng jìn cuì
任重道远 | rèn zhòng dào yuǎn
司空见惯 | sī kōng jiàn guàn
大同小异 | dà tóng xiǎo yì
截然不同 | jié rán bù tóng
天壤之别 | tiān rǎng zhī bié
昭然若揭 | zhāo rán ruò jiē
显而易见 | xiǎn ér yì jiàn
不以为然 | bù yǐ wéi rán
无动于衷 | wú dòng yú zhōng
袖手旁观 | xiù shǒu páng guān
随波逐流 | suí bō zhú liú
因小失大 | yīn xiǎo shī dà
舍本逐末 | shě běn zhú mò
本末倒置 | běn mò dào zhì
轻而易举 | qīng ér yì jǔ
触类旁通 | chù lèi páng tōng
融会贯通 | róng huì guàn tōng
深入浅出 | shēn rù qiǎn chū
潜移默化 | qián yí mò huà
耳濡目染 | ěr rú mù rǎn
根深蒂固 | gēn shēn dì gù
由来已久 | yóu lái yǐ jiǔ
来龙去脉 | lái lóng qù mài
前所未有 | qián suǒ wèi yǒu
史无前例 | shǐ wú qián lì
空前绝后 | kōng qián jué hòu
无与伦比 | wú yǔ lún bǐ
首屈一指 | shǒu qū yī zhǐ
出类拔萃 | chū lèi bá cuì
卓有成效 | zhuó yǒu chéng xiào
相辅相成 | xiāng fǔ xiāng chéng
息息相关 | xī xī xiāng guān
密不可分 | mì bù kě fēn
相提并论 | xiāng tí bìng lùn
一概而论 | yī gài ér lùn
以偏概全 | yǐ piān gài quán
断章取义 | duàn zhāng qǔ yì
南辕北辙 | nán yuán běi zhé
恰到好处 | qià dào hǎo chù
适可而止 | shì kě ér zhǐ
过犹不及 | guò yóu bù jí
量力而行 | liàng lì ér xíng
集思广益 | jí sī guǎng yì
推陈出新 | tuī chén chū xīn
继往开来 | jì wǎng kāi lái
居安思危 | jū ān sī wēi
防微杜渐 | fáng wēi dù jiàn
未雨绸缪 | wèi yǔ chóu móu
深谋远虑 | shēn móu yuǎn lǜ
高瞻远瞩 | gāo zhān yuǎn zhǔ
急功近利 | jí gōng jìn lì
锦上添花 | jǐn shàng tiān huā
雪中送炭 | xuě zhōng sòng tàn
雪上加霜 | xuě shàng jiā shuāng
事倍功半 | shì bèi gōng bàn
两全其美 | liǎng quán qí měi
进退两难 | jìn tuì liǎng nán
骑虎难下 | qí hǔ nán xià
力不从心 | lì bù cóng xīn
望尘莫及 | wàng chén mò jí
迎刃而解 | yíng rèn ér jiě
