# theme: 학술 담론
# unit: voca-6-u006
论点 | lùndiǎn
论据 | lùnjù
阐明 | chǎnmíng
诠释 | quánshì
演绎 | yǎnyì
命题 | mìngtí
范畴 | fànchóu
框架 | kuàngjià
范式 | fànshì
学派 | xuépài
文献 | wénxiàn
综述 | zōngshù
考证 | kǎozhèng
考据 | kǎojù
佐证 | zuǒzhèng
例证 | lìzhèng
引证 | yǐnzhèng
注释 | zhùshì
脚注 | jiǎozhù
摘要 | zhāiyào
专著 | zhuānzhù
论著 | lùnzhù
评审 | píngshěn
审稿 | shěngǎo
刊物 | kānwù
研讨会 | yántǎohuì
探究 | tànjiū
剖析 | pōuxī
辨析 | biànxī
辩证 | biànzhèng
缜密 | zhěnmì
周密 | zhōumì
偏颇 | piānpō
谬误 | miùwù
悖论 | bèilùn
质疑 | zhìyí
驳斥 | bóchì
反驳 | fǎnbó
辩驳 | biànbó
论战 | lùnzhàn
争鸣 | zhēngmíng
百家争鸣 | bǎi jiā zhēng míng
学术不端 | xuéshù bùduān
剽窃 | piāoqiè
抄袭 | chāoxí
署名 | shǔmíng
引文 | yǐnwén
索引 | suǒyǐn
参考文献 | cānkǎo wénxiàn
立项 | lìxiàng
选题 | xuǎntí
开题 | kāití
跨学科 | kuà xuékē
泰斗 | tàidǒu
鼻祖 | bízǔ
造诣 | zàoyì
渊博 | yuānbó
见地 | jiàndì
视角 | shìjiǎo
维度 | wéidù
层面 | céngmiàn
要旨 | yàozhǐ
主旨 | zhǔzhǐ
宗旨 | zōngzhǐ
提纲 | tígāng
条理 | tiáolǐ
脉络 | màiluò
实证 | shízhèng
定性 | dìngxìng
定量 | dìngliàng
量化 | liànghuà
抽样 | chōuyàng
相关性 | xiāngguānxìng
因果 | yīnguǒ
阐发 | chǎnfā
发掘 | fājué
印证 | yìnzhèng
推敲 | tuīqiāo
斟酌 | zhēnzuó
商榷 | shāngquè
存疑 | cúnyí
有待 | yǒudài
由此可见 | yóu cǐ kě jiàn
亦即 | yìjí
若干 | ruògān
述评 | shùpíng
评述 | píngshù
学识 | xuéshí
治学 | zhìxué
求证 | qiúzhèng
自圆其说 | zì yuán qí shuō
牵强附会 | qiān qiǎng fù huì
旁征博引 | páng zhēng bó yǐn
学术界 | xuéshùjiè
同行评议 | tóngháng píngyì
客观性 | kèguānxìng
界定 | jièdìng
著述 | zhùshù
立论 | lìlùn
论断 | lùnduàn
