# theme: 건강과 의료
# unit: voca-4-u007
医疗 | yīliáo
疾病 | jíbìng
病毒 | bìngdú
症状 | zhèngzhuàng
诊断 | zhěnduàn
体检 | tǐjiǎn
手术 | shǒushù
患者 | huànzhě
大夫 | dàifu
药物 | yàowù
药片 | yàopiàn
药店 | yàodiàn
处方 | chǔfāng
输液 | shūyè
疫苗 | yìmiáo
预防 | yùfáng
传染 | chuánrǎn
感染 | gǎnrǎn
过敏 | guòmǐn
失眠 | shīmián
疲劳 | píláo
疲倦 | píjuàn
疼痛 | téngtòng
受伤 | shòushāng
伤口 | shāngkǒu
流血 | liúxuè
骨头 | gǔtou
肌肉 | jīròu
血液 | xuèyè
血压 | xuèyā
心脏 | xīnzàng
大脑 | dànǎo
肠胃 | chángwèi
呼吸 | hūxī
消化 | xiāohuà
营养 | yíngyǎng
维生素 | wéishēngsù
蛋白质 | dànbáizhì
热量 | rèliàng
饮食 | yǐnshí
肥胖 | féipàng
身材 | shēncái
健身 | jiànshēn
睡眠 | shuìmián
心理 | xīnlǐ
情绪 | qíngxù
焦虑 | jiāolǜ
抑郁 | yìyù
康复 | kāngfù
好转 | hǎozhuǎn
急救 | jíjiù
救护车 | jiùhùchē
急诊 | jízhěn
挂号 | guàhào
门诊 | ménzhěn
牙科 | yákē
眼科 | yǎnkē
内科 | nèikē
外科 | wàikē
视力 | shìlì
近视 | jìnshì
嗓子 | sǎngzi
喉咙 | hóulóng
拉肚子 | lā dùzi
呕吐 | ǒutù
头晕 | tóuyūn
发炎 | fāyán
癌症 | áizhèng
糖尿病 | tángniàobìng
高血压 | gāoxuèyā
心脏病 | xīnzàngbìng
中医 | zhōngyī
西医 | xīyī
针灸 | zhēnjiǔ
按摩 | ànmó
保健 | bǎojiàn
卫生 | wèishēng
消毒 | xiāodú
口罩 | kǒuzhào
细菌 | xìjūn
抵抗力 | dǐkànglì
免疫 | miǎnyì
寿命 | shòumìng
长寿 | chángshòu
吸烟 | xīyān
戒烟 | jièyān
酒精 | jiǔjīng
副作用 | fùzuòyòng
病历 | bìnglì
体温 | tǐwēn
脉搏 | màibó
怀孕 | huáiyùn
残疾 | cánjí
虚弱 | xūruò
强壮 | qiángzhuàng
精力 | jīnglì
缓解 | huǎnjiě
减轻 | jiǎnqīng
加重 | jiāzhòng
不适 | búshì
