# theme: 감정과 관계
# unit: voca-3-u004
感情 | gǎnqíng
心情 | xīnqíng
关心 | guānxīn
关系 | guānxi
担心 | dānxīn
害怕 | hàipà
生气 | shēngqì
着急 | zháojí
紧张 | jǐnzhāng
放心 | fàngxīn
满意 | mǎnyì
难过 | nánguò
伤心 | shāngxīn
失望 | shīwàng
激动 | jīdòng
兴奋 | xīngfèn
感动 | gǎndòng
感谢 | gǎnxiè
感觉 | gǎnjué
愉快 | yúkuài
幸福 | xìngfú
孤单 | gūdān
烦恼 | fánnǎo
后悔 | hòuhuǐ
吃惊 | chījīng
奇怪 | qíguài
害羞 | hàixiū
骄傲 | jiāo'ào
自信 | zìxìn
勇敢 | yǒnggǎn
热情 | rèqíng
友好 | yǒuhǎo
礼貌 | lǐmào
诚实 | chéngshí
善良 | shànliáng
可爱 | kě'ài
聪明 | cōngming
耐心 | nàixīn
脾气 | píqi
性格 | xìnggé
幽默 | yōumò
活泼 | huópō
友谊 | yǒuyì
爱情 | àiqíng
恋爱 | liàn'ài
结婚 | jiéhūn
离婚 | líhūn
男朋友 | nánpéngyou
女朋友 | nǚpéngyou
叔叔 | shūshu
阿姨 | āyí
亲戚 | qīnqi
父母 | fùmǔ
儿童 | értóng
年轻 | niánqīng
年纪 | niánjì
老人 | lǎorén
主人 | zhǔrén
祝贺 | zhùhè
祝福 | zhùfú
聚会 | jùhuì
邀请 | yāoqǐng
约会 | yuēhuì
见面 | jiànmiàn
帮忙 | bāngmáng
照顾 | zhàogù
支持 | zhīchí
鼓励 | gǔlì
表扬 | biǎoyáng
批评 | pīpíng
道歉 | dàoqiàn
原谅 | yuánliàng
误会 | wùhuì
吵架 | chǎojià
相信 | xiāngxìn
信任 | xìnrèn
尊重 | zūnzhòng
互相 | hùxiāng
分手 | fēnshǒu
爱好 | àihào
兴趣 | xìngqù
笑话 | xiàohua
开玩笑 | kāi wánxiào
哭 | kū
微笑 | wēixiào
表情 | biǎoqíng
态度 | tàidu
印象 | yìnxiàng
经历 | jīnglì
回忆 | huíyì
秘密 | mìmì
陪 | péi
分享 | fēnxiǎng
交流 | jiāoliú
交朋友 | jiāo péngyou
婚礼 | hūnlǐ
家庭 | jiātíng
亲切 | qīnqiè
温柔 | wēnróu
严格 | yángé
