# theme: 서면어 동사 — 采取·导致
# unit: voca-5-u013
导致 | dǎozhì
促进 | cùjìn
促使 | cùshǐ
推动 | tuīdòng
引发 | yǐnfā
构成 | gòuchéng
具备 | jùbèi
拥有 | yōngyǒu
占据 | zhànjù
取得 | qǔdé
赢得 | yíngdé
加强 | jiāqiáng
增强 | zēngqiáng
提升 | tíshēng
削弱 | xuēruò
缩小 | suōxiǎo
扩大 | kuòdà
扩展 | kuòzhǎn
延长 | yáncháng
维持 | wéichí
确保 | quèbǎo
确认 | quèrèn
确立 | quèlì
设立 | shèlì
创立 | chuànglì
树立 | shùlì
奠定 | diàndìng
展开 | zhǎnkāi
承担 | chéngdān
履行 | lǚxíng
遵循 | zūnxún
依据 | yījù
依照 | yīzhào
基于 | jīyú
凭借 | píngjiè
借助 | jièzhù
运用 | yùnyòng
采用 | cǎiyòng
采纳 | cǎinà
借鉴 | jièjiàn
涉及 | shèjí
包含 | bāohán
意味着 | yìwèizhe
表明 | biǎomíng
显示 | xiǎnshì
体现 | tǐxiàn
反映 | fǎnyìng
揭示 | jiēshì
阐述 | chǎnshù
论述 | lùnshù
陈述 | chénshù
描述 | miáoshù
叙述 | xùshù
概括 | gàikuò
归纳 | guīnà
探讨 | tàntǎo
考察 | kǎochá
审查 | shěnchá
核实 | héshí
评估 | pínggū
衡量 | héngliáng
推断 | tuīduàn
预计 | yùjì
抑制 | yìzhì
约束 | yuēshù
制约 | zhìyuē
干预 | gānyù
妨碍 | fáng'ài
阻碍 | zǔ'ài
阻止 | zǔzhǐ
消除 | xiāochú
清除 | qīngchú
撤销 | chèxiāo
终止 | zhōngzhǐ
中止 | zhōngzhǐ
转变 | zhuǎnbiàn
转化 | zhuǎnhuà
转移 | zhuǎnyí
变更 | biàngēng
融合 | rónghé
整合 | zhěnghé
协调 | xiétiáo
兼顾 | jiāngù
面临 | miànlín
遭受 | zāoshòu
遭遇 | zāoyù
克服 | kèfú
应对 | yìngduì
给予 | jǐyǔ
赋予 | fùyǔ
予以 | yǔyǐ
加以 | jiāyǐ
致使 | zhìshǐ
在于 | zàiyú
视为 | shìwéi
列为 | lièwéi
致力于 | zhìlìyú
着手 | zhuóshǒu
筹备 | chóubèi
策划 | cèhuà
