# theme: 매체와 정보
# unit: voca-4-u008
媒体 | méitǐ
报道 | bàodào
杂志 | zázhì
广播 | guǎngbō
电视台 | diànshìtái
频道 | píndào
主持人 | zhǔchírén
记者 | jìzhě
编辑 | biānjí
采访 | cǎifǎng
消息 | xiāoxi
网络 | wǎngluò
网页 | wǎngyè
网友 | wǎngyǒu
搜索 | sōusuǒ
点击 | diǎnjī
浏览 | liúlǎn
转发 | zhuǎnfā
评论 | pínglùn
点赞 | diǎnzàn
发布 | fābù
公布 | gōngbù
宣传 | xuānchuán
广告 | guǎnggào
传播 | chuánbō
传媒 | chuánméi
舆论 | yúlùn
热点 | rèdiǎn
话题 | huàtí
头条 | tóutiáo
标题 | biāotí
作者 | zuòzhě
读者 | dúzhě
听众 | tīngzhòng
用户 | yònghù
粉丝 | fěnsī
博客 | bókè
短信 | duǎnxìn
邮件 | yóujiàn
视频 | shìpín
直播 | zhíbō
录音 | lùyīn
录像 | lùxiàng
拍摄 | pāishè
摄影 | shèyǐng
图片 | túpiàn
播放 | bōfàng
暂停 | zàntíng
版本 | bǎnběn
出版 | chūbǎn
印刷 | yìnshuā
报社 | bàoshè
出版社 | chūbǎnshè
栏目 | lánmù
专栏 | zhuānlán
真相 | zhēnxiàng
谣言 | yáoyán
事实 | shìshí
来源 | láiyuán
隐私 | yǐnsī
泄露 | xièlòu
沟通 | gōutōng
公告 | gōnggào
声明 | shēngmíng
发表 | fābiǎo
表达 | biǎodá
字幕 | zìmù
语音 | yǔyīn
留言 | liúyán
回复 | huífù
链接 | liànjiē
流量 | liúliàng
接通 | jiētōng
占线 | zhànxiàn
通讯 | tōngxùn
娱乐 | yúlè
明星 | míngxīng
纪录片 | jìlùpiàn
电视剧 | diànshìjù
动画片 | dònghuàpiàn
海报 | hǎibào
传单 | chuándān
问卷 | wènjuàn
排行榜 | páihángbǎng
热门 | rèmén
订阅 | dìngyuè
实时 | shíshí
报刊 | bàokān
书籍 | shūjí
百科 | bǎikē
查询 | cháxún
获取 | huòqǔ
收集 | shōují
传递 | chuándì
信件 | xìnjiàn
平台 | píngtái
主页 | zhǔyè
头像 | tóuxiàng
截图 | jiétú
网民 | wǎngmín
