# theme: 교육 제도
# unit: voca-5-u006
学历 | xuélì
讲师 | jiǎngshī
学科 | xuékē
讲义 | jiǎngyì
必修 | bìxiū
选修 | xuǎnxiū
补习 | bǔxí
启发 | qǐfā
启蒙 | qǐméng
教导 | jiàodǎo
引导 | yǐndǎo
督促 | dūcù
升学 | shēngxué
招生 | zhāoshēng
报考 | bàokǎo
高考 | gāokǎo
名额 | míng'é
分数线 | fēnshùxiàn
义务教育 | yìwù jiàoyù
学前教育 | xuéqián jiàoyù
职业教育 | zhíyè jiàoyù
校园 | xiàoyuán
母校 | mǔxiào
院校 | yuànxiào
高校 | gāoxiào
名校 | míngxiào
师生 | shīshēng
师范 | shīfàn
班主任 | bānzhǔrèn
学员 | xuéyuán
学徒 | xuétú
新生 | xīnshēng
学业 | xuéyè
文凭 | wénpíng
证书 | zhèngshū
资格 | zīgé
答辩 | dábiàn
课题 | kètí
研讨 | yántǎo
听课 | tīngkè
旷课 | kuàngkè
逃课 | táokè
退学 | tuìxué
休学 | xiūxué
转学 | zhuǎnxué
复读 | fùdú
自学 | zìxué
刻苦 | kèkǔ
钻研 | zuānyán
领悟 | lǐngwù
背诵 | bèisòng
朗读 | lǎngdú
默写 | mòxiě
抄写 | chāoxiě
考场 | kǎochǎng
监考 | jiānkǎo
作弊 | zuòbì
成绩单 | chéngjìdān
排名 | páimíng
评价 | píngjià
素质教育 | sùzhì jiàoyù
应试教育 | yìngshì jiàoyù
减负 | jiǎnfù
普及 | pǔjí
扫盲 | sǎománg
文盲 | wénmáng
识字 | shízì
学龄 | xuélíng
家教 | jiājiào
德育 | déyù
校规 | xiàoguī
学风 | xuéfēng
课堂 | kètáng
课外 | kèwài
学年 | xuénián
毕业典礼 | bìyè diǎnlǐ
在读 | zàidú
深造 | shēnzào
进修 | jìnxiū
网课 | wǎngkè
远程教育 | yuǎnchéng jiàoyù
教诲 | jiàohuì
灌输 | guànshū
熏陶 | xūntáo
榜样 | bǎngyàng
模范 | mófàn
天赋 | tiānfù
潜力 | qiánlì
教育部 | jiàoyùbù
学制 | xuézhì
学士 | xuéshì
专科 | zhuānkē
大专 | dàzhuān
教科书 | jiàokēshū
教案 | jiào'àn
教职工 | jiàozhígōng
助教 | zhùjiào
助学金 | zhùxuéjīn
录取通知书 | lùqǔ tōngzhīshū
毕业论文 | bìyè lùnwén
