# theme: 사회 구조와 계층
# unit: voca-6-u005
贫富差距 | pínfù chājù
两极分化 | liǎngjí fēnhuà
基尼系数 | Jīní xìshù
中产阶级 | zhōngchǎn jiējí
中等收入 | zhōngděng shōurù
工薪阶层 | gōngxīn jiēcéng
白领 | báilǐng
蓝领 | lánlǐng
弱势群体 | ruòshì qúntǐ
上层 | shàngcéng
精英 | jīngyīng
权贵 | quánguì
富豪 | fùháo
暴发户 | bàofāhù
草根 | cǎogēn
社会流动 | shèhuì liúdòng
阶层固化 | jiēcéng gùhuà
固化 | gùhuà
城乡 | chéngxiāng
二元结构 | èryuán jiégòu
户籍 | hùjí
外来人口 | wàilái rénkǒu
流动人口 | liúdòng rénkǒu
常住人口 | chángzhù rénkǒu
留守儿童 | liúshǒu értóng
空巢老人 | kōngcháo lǎorén
少子化 | shǎozǐhuà
人口红利 | rénkǒu hónglì
死亡率 | sǐwánglǜ
生育率 | shēngyùlǜ
性别比 | xìngbiébǐ
家族 | jiāzú
宗族 | zōngzú
血缘 | xuèyuán
核心家庭 | héxīn jiātíng
离婚率 | líhūnlǜ
族群 | zúqún
少数民族 | shǎoshù mínzú
种族 | zhǒngzú
种族歧视 | zhǒngzú qíshì
排斥 | páichì
边缘化 | biānyuánhuà
隔阂 | géhé
融入 | róngrù
认同 | rèntóng
声望 | shēngwàng
特权 | tèquán
权势 | quánshì
既得利益 | jìdé lìyì
收入分配 | shōurù fēnpèi
再分配 | zàifēnpèi
世袭 | shìxí
门第 | méndì
出身 | chūshēn
寒门 | hánmén
官二代 | guān'èrdài
富二代 | fù'èrdài
蚁族 | yǐzú
内卷 | nèijuǎn
躺平 | tǎngpíng
社会分工 | shèhuì fēngōng
分化 | fēnhuà
市民 | shìmín
乡绅 | xiāngshēn
地主 | dìzhǔ
佃农 | diànnóng
劳资 | láozī
工会 | gōnghuì
剥削 | bōxuē
压迫 | yāpò
不公 | bùgōng
群体性事件 | qúntǐxìng shìjiàn
维权 | wéiquán
上访 | shàngfǎng
诉求 | sùqiú
贫民窟 | pínmínkū
棚户区 | pénghùqū
聚居 | jùjū
移居 | yíjū
迁徙 | qiānxǐ
抚养比 | fǔyǎngbǐ
代际 | dàijì
价值观 | jiàzhíguān
社会风气 | shèhuì fēngqì
新生代 | xīnshēngdài
单亲家庭 | dānqīn jiātíng
上班族 | shàngbānzú
自由职业者 | zìyóu zhíyèzhě
个体户 | gètǐhù
赤贫 | chìpín
富裕 | fùyù
共同富裕 | gòngtóng fùyù
贫富悬殊 | pínfù xuánshū
悬殊 | xuánshū
等级森严 | děngjí sēnyán
贫困线 | pínkùnxiàn
无产阶级 | wúchǎn jiējí
资产阶级 | zīchǎn jiējí
社会地位 | shèhuì dìwèi
人口结构 | rénkǒu jiégòu
