# theme: 과학 연구
# unit: voca-5-u008
科研 | kēyán
研究员 | yánjiūyuán
实验室 | shíyànshì
试验 | shìyàn
假说 | jiǎshuō
定律 | dìnglǜ
推理 | tuīlǐ
推论 | tuīlùn
论证 | lùnzhèng
证实 | zhèngshí
验证 | yànzhèng
观测 | guāncè
测定 | cèdìng
标本 | biāoběn
精密 | jīngmì
变量 | biànliàng
参数 | cānshù
模拟 | mónǐ
概率 | gàilǜ
本质 | běnzhì
机制 | jīzhì
遗传 | yíchuán
进化 | jìnhuà
生物学 | shēngwùxué
天文学 | tiānwénxué
地质 | dìzhì
医学 | yīxué
算法 | suànfǎ
探测 | tàncè
领域 | lǐngyù
前沿 | qiányán
尖端 | jiānduān
经费 | jīngfèi
试管 | shìguǎn
化学反应 | huàxué fǎnyìng
合成 | héchéng
提取 | tíqǔ
提炼 | tíliàn
溶解 | róngjiě
蒸发 | zhēngfā
凝固 | nínggù
密度 | mìdù
引力 | yǐnlì
磁场 | cíchǎng
频率 | pínlǜ
波长 | bōcháng
光速 | guāngsù
物质 | wùzhì
微生物 | wēishēngwù
临床 | línchuáng
研发 | yánfā
鉴定 | jiàndìng
学说 | xuéshuō
期刊 | qīkān
引用 | yǐnyòng
严谨 | yánjǐn
逻辑 | luójí
理性 | lǐxìng
预测 | yùcè
设想 | shèxiǎng
构想 | gòuxiǎng
原型 | yuánxíng
克隆 | kèlóng
生物技术 | shēngwù jìshù
纳米 | nàmǐ
量子 | liàngzǐ
研究所 | yánjiūsuǒ
课题组 | kètízǔ
对照组 | duìzhàozǔ
发明家 | fāmíngjiā
方程 | fāngchéng
定理 | dìnglǐ
物理学 | wùlǐxué
化学家 | huàxuéjiā
地质学 | dìzhìxué
心理学 | xīnlǐxué
粒子 | lìzǐ
压强 | yāqiáng
沸点 | fèidiǎn
化合物 | huàhéwù
氧化 | yǎnghuà
催化剂 | cuīhuàjì
液体 | yètǐ
气体 | qìtǐ
固体 | gùtǐ
晶体 | jīngtǐ
光谱 | guāngpǔ
射线 | shèxiàn
行星 | xíngxīng
恒星 | héngxīng
化石 | huàshí
可行性 | kěxíngxìng
运算 | yùnsuàn
数值 | shùzhí
统计学 | tǒngjìxué
函数 | hánshù
仿真 | fǎngzhēn
天文台 | tiānwéntái
传感器 | chuángǎnqì
裂变 | lièbiàn
