# theme: 태도와 평가 형용사
# unit: voca-4-u010
积极 | jījí
消极 | xiāojí
被动 | bèidòng
诚恳 | chéngkěn
虚心 | xūxīn
谦虚 | qiānxū
自豪 | zìháo
坚强 | jiānqiáng
乐观 | lèguān
悲观 | bēiguān
冷淡 | lěngdàn
粗心 | cūxīn
细心 | xìxīn
马虎 | mǎhu
严肃 | yánsù
开朗 | kāilǎng
内向 | nèixiàng
外向 | wàixiàng
大方 | dàfang
小气 | xiǎoqi
懒 | lǎn
勤奋 | qínfèn
勤劳 | qínláo
优秀 | yōuxiù
出色 | chūsè
突出 | tūchū
完美 | wánměi
完善 | wánshàn
合适 | héshì
明确 | míngquè
模糊 | móhu
具体 | jùtǐ
抽象 | chōuxiàng
必要 | bìyào
特殊 | tèshū
独特 | dútè
正常 | zhèngcháng
明显 | míngxiǎn
深刻 | shēnkè
生动 | shēngdòng
无聊 | wúliáo
精彩 | jīngcǎi
丰富 | fēngfù
全面 | quánmiàn
片面 | piànmiàn
客观 | kèguān
主观 | zhǔguān
公正 | gōngzhèng
可靠 | kěkào
真实 | zhēnshí
虚假 | xūjiǎ
实际 | shíjì
实用 | shíyòng
有效 | yǒuxiào
详细 | xiángxì
宝贵 | bǎoguì
珍贵 | zhēnguì
难得 | nándé
糟糕 | zāogāo
了不起 | liǎobuqǐ
厉害 | lìhai
佩服 | pèifú
遗憾 | yíhàn
可惜 | kěxī
惭愧 | cánkuì
得意 | déyì
谨慎 | jǐnshèn
冷静 | lěngjìng
冲动 | chōngdòng
固执 | gùzhí
灵活 | línghuó
笨 | bèn
天真 | tiānzhēn
成熟 | chéngshú
幼稚 | yòuzhì
稳定 | wěndìng
可怕 | kěpà
热心 | rèxīn
周到 | zhōudào
体贴 | tǐtiē
粗鲁 | cūlǔ
过分 | guòfèn
适当 | shìdàng
恰当 | qiàdàng
优美 | yōuměi
时髦 | shímáo
朴素 | pǔsù
整齐 | zhěngqí
伟大 | wěidà
正直 | zhèngzhí
自私 | zìsī
大胆 | dàdǎn
坚定 | jiāndìng
果断 | guǒduàn
犹豫 | yóuyù
强烈 | qiángliè
好奇 | hàoqí
专心 | zhuānxīn
用功 | yònggōng
淘气 | táoqì
