# theme: 경제 심화
# unit: voca-5-u002
宏观 | hóngguān
微观 | wēiguān
通货膨胀 | tōnghuò péngzhàng
紧缩 | jǐnsuō
衰退 | shuāituì
萧条 | xiāotiáo
繁荣 | fánróng
增幅 | zēngfú
涨幅 | zhǎngfú
下跌 | xiàdiē
波动 | bōdòng
回升 | huíshēng
复苏 | fùsū
膨胀 | péngzhàng
货币 | huòbì
利率 | lìlǜ
利息 | lìxī
债务 | zhàiwù
负债 | fùzhài
赤字 | chìzì
盈余 | yíngyú
财政 | cáizhèng
税收 | shuìshōu
税率 | shuìlǜ
纳税 | nàshuì
收支 | shōuzhī
开支 | kāizhī
支出 | zhīchū
收益 | shōuyì
投资者 | tóuzīzhě
融资 | róngzī
资本 | zīběn
资产 | zīchǎn
股市 | gǔshì
股份 | gǔfèn
证券 | zhèngquàn
基金 | jījīn
期货 | qīhuò
金融 | jīnróng
外汇 | wàihuì
储蓄 | chǔxù
消费者 | xiāofèizhě
供给 | gōngjǐ
产量 | chǎnliàng
产值 | chǎnzhí
行业 | hángyè
制造业 | zhìzàoyè
服务业 | fúwùyè
关税 | guānshuì
顺差 | shùnchā
逆差 | nìchā
物价 | wùjià
效益 | xiàoyì
指数 | zhǐshù
比重 | bǐzhòng
占比 | zhànbǐ
份额 | fèn'é
总量 | zǒngliàng
人均 | rénjūn
均衡 | jūnhéng
失衡 | shīhéng
垄断 | lǒngduàn
全球化 | quánqiúhuà
一体化 | yītǐhuà
区域 | qūyù
开发 | kāifā
发达 | fādá
贫富 | pínfù
原材料 | yuáncáiliào
物资 | wùzī
流通 | liútōng
物流 | wùliú
电商 | diànshāng
泡沫 | pàomò
刺激 | cìjī
拉动 | lādòng
内需 | nèixū
升值 | shēngzhí
贬值 | biǎnzhí
稳步 | wěnbù
持续 | chíxù
经济学 | jīngjìxué
统计 | tǒngjì
市值 | shìzhí
货物 | huòwù
汇款 | huìkuǎn
债券 | zhàiquàn
股价 | gǔjià
经济体 | jīngjìtǐ
产能 | chǎnnéng
投入 | tóurù
回报 | huíbào
盈亏 | yíngkuī
税务 | shuìwù
实体 | shítǐ
通缩 | tōngsuō
经济危机 | jīngjì wēijī
国民经济 | guómín jīngjì
贸易额 | màoyì'é
出口额 | chūkǒu'é
