# theme: 고급 유의어 구별
# unit: voca-6-u017
鉴别 | jiànbié
辨别 | biànbié
甄别 | zhēnbié
遏止 | èzhǐ
蕴含 | yùnhán
蕴藏 | yùncáng
藐视 | miǎoshì
蔑视 | mièshì
鄙视 | bǐshì
废止 | fèizhǐ
敏锐 | mǐnruì
敏捷 | mǐnjié
灵敏 | língmǐn
坚韧 | jiānrèn
坚毅 | jiānyì
屡屡 | lǚlǚ
夸大 | kuādà
夸耀 | kuāyào
炫耀 | xuànyào
颓废 | tuífèi
消沉 | xiāochén
气馁 | qìněi
腐朽 | fǔxiǔ
腐蚀 | fǔshí
抵御 | dǐyù
抵触 | dǐchù
屈服 | qūfú
妥协 | tuǒxié
束缚 | shùfù
拘束 | jūshù
洞察 | dòngchá
察觉 | chájué
觉察 | juéchá
摒弃 | bìngqì
舍弃 | shěqì
遗弃 | yíqì
恪守 | kèshǒu
奉行 | fèngxíng
严密 | yánmì
充沛 | chōngpèi
充裕 | chōngyù
愤慨 | fènkǎi
愤恨 | fènhèn
功勋 | gōngxūn
简陋 | jiǎnlòu
简朴 | jiǎnpǔ
广博 | guǎngbó
蓬勃 | péngbó
弘扬 | hóngyáng
宣扬 | xuānyáng
张扬 | zhāngyáng
预见 | yùjiàn
料想 | liàoxiǎng
截止 | jiézhǐ
界限 | jièxiàn
界线 | jièxiàn
考查 | kǎochá
启示 | qǐshì
启事 | qǐshì
泄漏 | xièlòu
暴发 | bàofā
爆发 | bàofā
融化 | rónghuà
熔化 | rónghuà
惋惜 | wǎnxī
痛惜 | tòngxī
瓦解 | wǎjiě
苛刻 | kēkè
严酷 | yánkù
疏忽 | shūhu
疏漏 | shūlòu
鼓动 | gǔdòng
煽动 | shāndòng
怂恿 | sǒngyǒng
斥责 | chìzé
琢磨 | zuómo
掂量 | diānliang
眷恋 | juànliàn
留恋 | liúliàn
依恋 | yīliàn
捏造 | niēzào
耽误 | dānwu
延误 | yánwù
贻误 | yíwù
截然 | jiérán
迥然 | jiǒngrán
竭力 | jiélì
遏阻 | èzǔ
蕴涵 | yùnhán
轻蔑 | qīngmiè
机敏 | jīmǐn
坚忍 | jiānrěn
吹嘘 | chuīxū
灰心 | huīxīn
抵制 | dǐzhì
拘泥 | jūnì
洞悉 | dòngxī
摈弃 | bìnqì
遵从 | zūncóng
细密 | xìmì
