# theme: 인물과 태도
# unit: voca-5-u012
个性 | gèxìng
品质 | pǐnzhì
品德 | pǐndé
人品 | rénpǐn
气质 | qìzhì
风度 | fēngdù
谦逊 | qiānxùn
真诚 | zhēnchéng
坦率 | tǎnshuài
爽快 | shuǎngkuai
慷慨 | kāngkǎi
吝啬 | lìnsè
懒惰 | lǎnduò
踏实 | tāshi
稳重 | wěnzhòng
和蔼 | hé'ǎi
友善 | yǒushàn
冷漠 | lěngmò
傲慢 | àomàn
自大 | zìdà
顽固 | wángù
倔强 | juéjiàng
严厉 | yánlì
宽容 | kuānróng
包容 | bāoróng
体谅 | tǐliàng
虚伪 | xūwěi
狡猾 | jiǎohuá
老实 | lǎoshi
朴实 | pǔshí
淳朴 | chúnpǔ
胆小 | dǎnxiǎo
胆量 | dǎnliàng
执着 | zhízhuó
自觉 | zìjué
自律 | zìlǜ
责任感 | zérèngǎn
敬业 | jìngyè
能干 | nénggàn
机灵 | jīling
精明 | jīngmíng
愚蠢 | yúchǔn
糊涂 | hútu
智慧 | zhìhuì
才能 | cáinéng
长处 | chángchù
短处 | duǎnchù
毛病 | máobìng
作风 | zuòfēng
眼光 | yǎnguāng
见解 | jiànjiě
胸怀 | xiōnghuái
气量 | qìliàng
性情 | xìngqíng
为人 | wéirén
人缘 | rényuán
主人公 | zhǔréngōng
前辈 | qiánbèi
晚辈 | wǎnbèi
长辈 | zhǎngbèi
伙伴 | huǒbàn
知己 | zhījǐ
敷衍 | fūyǎn
赞赏 | zànshǎng
称赞 | chēngzàn
指责 | zhǐzé
嘲笑 | cháoxiào
讽刺 | fěngcì
轻视 | qīngshì
敬佩 | jìngpèi
崇拜 | chóngbài
尊敬 | zūnjìng
谦让 | qiānràng
随和 | suíhe
挑剔 | tiāoti
虚荣 | xūróng
上进 | shàngjìn
野心 | yěxīn
志气 | zhìqì
抱负 | bàofù
毅力 | yìlì
意志 | yìzhì
忠诚 | zhōngchéng
得体 | détǐ
风趣 | fēngqù
啰嗦 | luōsuo
任性 | rènxìng
沉着 | chénzhuó
镇定 | zhèndìng
温和 | wēnhé
单纯 | dānchún
慎重 | shènzhòng
节俭 | jiéjiǎn
夸奖 | kuājiǎng
和气 | héqi
厚道 | hòudao
刻薄 | kèbó
要强 | yàoqiáng
争气 | zhēngqì
勤快 | qínkuai
