# theme: 헷갈리는 유의어 짝
# unit: voca-5-u016
充足 | chōngzú
发挥 | fāhuī
发扬 | fāyáng
广泛 | guǎngfàn
广阔 | guǎngkuò
连续 | liánxù
反应 | fǎnyìng
保留 | bǎoliú
爱护 | àihù
爱惜 | àixī
猜测 | cāicè
承认 | chéngrèn
认可 | rènkě
从事 | cóngshì
担任 | dānrèn
激烈 | jīliè
巨大 | jùdà
庞大 | pángdà
匆忙 | cōngmáng
急忙 | jímáng
杰出 | jiéchū
优雅 | yōuyǎ
形式 | xíngshì
形势 | xíngshì
拖延 | tuōyán
步骤 | bùzhòu
秩序 | zhìxù
次序 | cìxù
根本 | gēnběn
原则 | yuánzé
设施 | shèshī
状态 | zhuàngtài
状况 | zhuàngkuàng
情景 | qíngjǐng
情形 | qíngxing
倾向 | qīngxiàng
特长 | tècháng
缺陷 | quēxiàn
争论 | zhēnglùn
辩论 | biànlùn
议论 | yìlùn
制止 | zhìzhǐ
责备 | zébèi
嘱咐 | zhǔfù
吩咐 | fēnfù
否认 | fǒurèn
否定 | fǒudìng
反复 | fǎnfù
充实 | chōngshí
反响 | fǎnxiǎng
保持 | bǎochí
猜想 | cāixiǎng
担当 | dāndāng
剧烈 | jùliè
宏伟 | hóngwěi
雄伟 | xióngwěi
慌忙 | huāngmáng
连忙 | liánmáng
延期 | yánqī
延迟 | yánchí
进程 | jìnchéng
顺序 | shùnxù
趋向 | qūxiàng
缺乏 | quēfá
争吵 | zhēngchǎo
责怪 | zéguài
叮嘱 | dīngzhǔ
嘱托 | zhǔtuō
委托 | wěituō
发觉 | fājué
体会 | tǐhuì
体验 | tǐyàn
谅解 | liàngjiě
误解 | wùjiě
改正 | gǎizhèng
纠正 | jiūzhèng
更正 | gēngzhèng
修正 | xiūzhèng
后果 | hòuguǒ
实行 | shíxíng
施行 | shīxíng
展示 | zhǎnshì
展现 | zhǎnxiàn
呈现 | chéngxiàn
期望 | qīwàng
愿望 | yuànwàng
场面 | chǎngmiàn
场合 | chǎnghé
场所 | chǎngsuǒ
确切 | quèqiè
清晰 | qīngxī
简要 | jiǎnyào
简略 | jiǎnlüè
紧密 | jǐnmì
密切 | mìqiè
注重 | zhùzhòng
着重 | zhuózhòng
侧重 | cèzhòng
忽视 | hūshì
忽略 | hūlüè
