# theme: 복문 접속어 — 否则·反而
# unit: voca-4-u009
否则 | fǒuzé
反而 | fǎn'ér
然而 | rán'ér
尽管 | jǐnguǎn
哪怕 | nǎpà
除非 | chúfēi
假如 | jiǎrú
假设 | jiǎshè
万一 | wànyī
以免 | yǐmiǎn
免得 | miǎnde
省得 | shěngde
从而 | cóng'ér
由于 | yóuyú
因而 | yīn'ér
可见 | kějiàn
总之 | zǒngzhī
总的来说 | zǒng de lái shuō
换句话说 | huàn jù huà shuō
也就是说 | yě jiù shì shuō
何况 | hékuàng
况且 | kuàngqiě
不仅 | bùjǐn
不光 | bùguāng
不论 | búlùn
一方面 | yì fāngmiàn
另一方面 | lìng yì fāngmiàn
此外 | cǐwài
与此同时 | yǔ cǐ tóngshí
接着 | jiēzhe
随后 | suíhòu
以来 | yǐlái
自从 | zìcóng
直到 | zhídào
一旦 | yídàn
宁可 | nìngkě
与其 | yǔqí
不如 | bùrú
要么 | yàome
要不然 | yàobùrán
不然 | bùrán
再说 | zàishuō
难怪 | nánguài
怪不得 | guàibude
毕竟 | bìjìng
幸亏 | xìngkuī
幸好 | xìnghǎo
偏偏 | piānpiān
依然 | yīrán
始终 | shǐzhōng
何必 | hébì
至于 | zhìyú
以及 | yǐjí
并 | bìng
以至于 | yǐzhìyú
以致 | yǐzhì
看来 | kànlái
显然 | xiǎnrán
固然 | gùrán
虽说 | suīshuō
即便 | jíbiàn
就算 | jiùsuàn
无论如何 | wúlùn rúhé
如此 | rúcǐ
之所以 | zhīsuǒyǐ
加上 | jiāshang
等到 | děngdào
要不是 | yàobúshì
而是 | érshì
并非 | bìngfēi
反之 | fǎnzhī
相反 | xiāngfǎn
反正 | fǎnzhèng
总而言之 | zǒng ér yán zhī
譬如 | pìrú
包括 | bāokuò
只不过 | zhǐbúguò
而已 | éryǐ
乃至 | nǎizhì
总算 | zǒngsuàn
或许 | huòxǔ
实际上 | shíjìshang
干脆 | gāncuì
不妨 | bùfáng
难免 | nánmiǎn
未必 | wèibì
是否 | shìfǒu
凡是 | fánshì
不料 | búliào
而 | ér
既 | jì
除此之外 | chú cǐ zhī wài
比如 | bǐrú
反过来 | fǎnguolai
与 | yǔ
及 | jí
或 | huò
即 | jí
要不 | yàobù
便 | biàn
